id,city,country,latitude,longitude,fqdn,ipv4,measurement_id
7174,Peterborough,United Kingdom of Great Britain and Northern Ireland,52.5495,-0.3895,uk-pet-as48070.anchors.atlas.ripe.net,94.126.239.59,49283496
7254,Coventry,United Kingdom of Great Britain and Northern Ireland,52.3995,-1.5805,uk-cvt-as142594.anchors.atlas.ripe.net,103.170.154.254,58401247
6295,Tirana,Albania,41.3195,19.8215,al-tia-as42409.anchors.atlas.ripe.net,194.1.149.210,9229274
6366,Sarajevo,Bosnia and Herzegovina,43.8605,18.4005,ba-sjj-as8670.anchors.atlas.ripe.net,195.130.61.208,14412698
6654,Zenica,Bosnia and Herzegovina,44.1995,17.8995,ba-zca-as9146.anchors.atlas.ripe.net,80.65.65.220,23184706
6327,Zagreb,Croatia,45.7905,15.9685,hr-zag-as2108.anchors.atlas.ripe.net,161.53.251.28,10579564
6297,Heraklion,Greece,35.3105,25.0715,gr-her-as8522.anchors.atlas.ripe.net,139.91.68.3,9237284
6741,Athens,Greece,38.0775,23.6995,gr-ath-as56457.anchors.atlas.ripe.net,176.119.210.244,23964840
6094,Milan,Italy,45.4795,9.1015,it-mil-as16004.anchors.atlas.ripe.net,217.29.76.27,1791292
6235,Rome,Italy,41.8995,12.5085,it-rom-as24796.anchors.atlas.ripe.net,193.201.40.210,6937687
6316,Torino,Italy,45.0905,7.6575,it-trn-as12779.anchors.atlas.ripe.net,213.212.129.68,10206810
6424,Meran,Italy,46.4995,11.3485,it-men-as50178.anchors.atlas.ripe.net,185.161.192.39,17605579
6435,ROZZANO,Italy,45.3795,9.1585,it-rzo-as35574.anchors.atlas.ripe.net,194.187.174.6,17996320
6496,San Benedetto del Tronto,Italy,42.9405,13.8815,it-sdb-as59715.anchors.atlas.ripe.net,185.5.201.10,19377737
6509,Arezzo,Italy,43.4615,11.8375,it-are-as31034.anchors.atlas.ripe.net,31.14.143.132,19850040
6621,Monopoli,Italy,40.9475,17.2785,it-mnp-as60798-client.anchors.atlas.ripe.net,185.25.205.152,23046934
6675,Piacenza,Italy,45.0495,9.7405,it-pcz-as201333.anchors.atlas.ripe.net,185.78.49.100,23499681
6762,Palermo,Italy,38.1185,13.3605,it-pmo-as41327.anchors.atlas.ripe.net,185.157.231.49,24472331
6961,Battipaglia,Italy,40.5875,14.9805,it-bat-as199181.anchors.atlas.ripe.net,5.158.64.189,29492562
7085,Bolzano,Italy,46.4795,11.3315,it-bzo-as49088.anchors.atlas.ripe.net,185.144.72.8,40071799
7110,Pescara,Italy,42.4375,14.1975,it-psr-as21034.anchors.atlas.ripe.net,195.32.69.197,41920946
7181,Trieste,Italy,45.7075,13.7315,it-trs-as204471.anchors.atlas.ripe.net,77.37.29.7,50181683
6276,Skopje,North Macedonia,42.0005,21.4105,mk-skp-as5379.anchors.atlas.ripe.net,194.149.138.252,8401343
7212,Gevgelija,North Macedonia,41.1485,22.4975,mk-gvl-as211450.anchors.atlas.ripe.net,95.86.44.5,53163835
6328,Lisboa,Portugal,38.7915,-9.1215,pt-lis-as62416.anchors.atlas.ripe.net,185.32.189.249,10590227
7051,Barreiro,Portugal,38.6575,-9.0805,pt-bro-as211772.anchors.atlas.ripe.net,5.182.48.97,34609027
6438,Belgrade,Serbia,44.8015,20.4585,rs-beg-as51859.anchors.atlas.ripe.net,87.237.203.50,18085286
7213,Nis,Serbia,43.3185,21.8875,rs-ini-as13303.anchors.atlas.ripe.net,160.99.1.254,53329834
6541,Ljubljana,Slovenia,46.0775,14.4895,si-lju-as42207.anchors.atlas.ripe.net,185.206.184.74,21049932
6352,Barcelona,Spain,41.3885,2.1095,es-bcn-as13041.anchors.atlas.ripe.net,84.88.18.254,11863561
6604,Madrid,Spain,40.4895,-3.6925,es-mad-as15954.anchors.atlas.ripe.net,31.47.76.181,22726786
6687,Murcia,Spain,37.9905,-1.1285,es-mjv-as39069.anchors.atlas.ripe.net,147.84.200.125,23607782
7086,Alcalá de Henares,Spain,40.5105,-3.3385,es-acl-as15699.anchors.atlas.ripe.net,37.46.78.66,40076467
7089,Cerdanyola del Vallès,Spain,41.4915,2.1215,es-crd-as15699.anchors.atlas.ripe.net,94.24.115.154,40182736
6042,Vienna,Austria,48.2085,16.3695,at-vie-as1120.anchors.atlas.ripe.net,193.171.255.2,1437285
6120,Klagenfurt,Austria,46.6175,14.3185,at-klu-as42473.anchors.atlas.ripe.net,178.255.156.202,1962548
6360,Salzburg,Austria,47.8175,13.0405,at-szg-as39878.anchors.atlas.ripe.net,91.135.161.162,12624783
6476,Feldkirch,Austria,47.2705,9.6105,at-fkt-as48362.anchors.atlas.ripe.net,94.199.170.201,18840705
6686,Wels,Austria,48.1705,14.0415,at-wsl-as21013.anchors.atlas.ripe.net,195.190.26.29,23606086
6959,Hall in Tirol,Austria,47.2815,11.4995,at-hit-as34347.anchors.atlas.ripe.net,80.92.124.145,29416108
7083,Innsbruck,Austria,47.2685,11.4315,at-inn-as31510.anchors.atlas.ripe.net,83.175.125.178,39587018
6635,Leuven,Belgium,50.8495,4.7185,be-leu-as39923.anchors.atlas.ripe.net,185.111.204.121,23120739
6737,Zaventem,Belgium,50.8805,4.4985,be-zav-as39923.anchors.atlas.ripe.net,109.68.162.233,23957223
6937,Louvain-la-Neuve,Belgium,50.6705,4.6085,be-lln-as2611-client.anchors.atlas.ripe.net,130.104.228.159,29135717
7005,Bruxelles,Belgium,50.8195,4.3675,be-bru-as204059.anchors.atlas.ripe.net,80.67.181.29,30523744
7101,Antwerp,Belgium,51.1775,4.4175,be-anr-as2611-client.anchors.atlas.ripe.net,143.129.80.132,41386078
6025,Strasbourg,France,48.5795,7.7485,fr-sxb-as8839.anchors.atlas.ripe.net,213.225.160.239,1042404
6043,Prévessin-Moëns,France,46.2285,6.0495,fr-prm-as513.anchors.atlas.ripe.net,192.65.184.54,1442071
6278,Paris,France,48.8515,2.3605,fr-par-as1307.anchors.atlas.ripe.net,132.227.123.3,8434916
6320,Bordeaux,France,44.8575,-0.5615,fr-bod-as198985.anchors.atlas.ripe.net,185.233.100.99,10404698
6384,Cesson- Sevigne,France,48.1195,-1.6285,fr-cv7-as52039.anchors.atlas.ripe.net,185.150.253.30,15678992
6395,Toulouse,France,43.5395,1.5215,fr-tls-as39534.anchors.atlas.ripe.net,185.151.70.11,16013293
6430,Lyon,France,45.8075,4.7685,fr-lio-as41405.anchors.atlas.ripe.net,91.223.159.7,17796721
6443,Maxeville,France,48.6985,6.1395,fr-max-as16347.anchors.atlas.ripe.net,212.51.187.100,18279701
6494,Rennes,France,48.1095,-1.6385,fr-rns-as204092.anchors.atlas.ripe.net,80.67.190.218,19299324
6513,Nanterre,France,48.8885,2.2075,fr-nan-as62000.anchors.atlas.ripe.net,149.91.83.251,19948894
6648,Vitry-sur-Seine,France,48.7715,2.3795,fr-vty-as209523.anchors.atlas.ripe.net,185.97.141.2,23168777
6696,Gravelines,France,51.0205,2.1615,fr-grv-as16276.anchors.atlas.ripe.net,145.239.14.84,23723903
6717,Villeurbanne,France,45.7605,4.8975,fr-vbn-as39180.anchors.atlas.ripe.net,81.18.177.166,23798598
6728,Ivry sur Seine,France,48.8215,2.3985,fr-ivs-as34019.anchors.atlas.ripe.net,193.17.192.164,23876804
6736,Trevoux,France,45.9405,4.7285,fr-trx-as209097.anchors.atlas.ripe.net,5.182.144.161,23928698
6823,Roubaix,France,50.6885,3.1785,fr-rou-as16276-client.anchors.atlas.ripe.net,54.37.106.211,26287683
6873,Brest,France,48.3585,-4.5695,fr-bes-as2200-client.anchors.atlas.ripe.net,193.50.97.164,27337918
6921,Saint Denis,France,48.9275,2.3485,fr-ysd-as203476-2.anchors.atlas.ripe.net,92.243.9.77,28422766
6949,Croissy-Beaubourg,France,48.8315,2.6595,fr-cbg-as212972.anchors.atlas.ripe.net,44.151.129.253,29323132
7042,Aubervilliers,France,48.9085,2.3695,fr-avs-as24776.anchors.atlas.ripe.net,217.25.179.62,33008006
7048,Nancy,France,48.7015,6.1395,fr-enc-as16347-client.anchors.atlas.ripe.net,91.234.194.103,34500475
7071,Reims,France,49.2275,4.0305,fr-rhe-as21409.anchors.atlas.ripe.net,80.93.87.194,38827715
7122,Gif-sur-Yvette,France,48.7085,2.1585,fr-gfy-as204515.anchors.atlas.ripe.net,185.230.79.16,42717439
7136,Grenoble,France,45.2105,5.6885,fr-gnb-as1942-client.anchors.atlas.ripe.net,193.49.43.151,45259743
6081,Nuremberg,Germany,49.4275,11.0215,de-nue-as33988.anchors.atlas.ripe.net,194.150.191.46,1768116
6117,Berlin,Germany,52.5205,13.3975,de-ber-as20647.anchors.atlas.ripe.net,185.27.158.238,1906513
6202,Braunschweig,Germany,52.2785,10.5375,de-bwe-as680.anchors.atlas.ripe.net,134.169.3.165,4377619
