,Cities,Latency,GeodesicDistance,GCD,GCDPredic,GeodesicPredic,Error Percent
153,"('6574', '6373')",31.893547,1.1059161963430162,1754.5225554975366,35.45799441320057,30.50192911811459,4.363321150467876
154,"('6574', '6379')",12.220575,0.4824181761442767,682.7636104033112,13.798299832259554,13.305425006614941,8.877241918771752
155,"('6574', '6388')",31.009544,0.0,505.2888065863497,10.2116257353619,0.0,100.0
156,"('6574', '6389')",20.030631,0.5731148790487101,785.753257702896,15.87966739697041,15.80690243536188,21.08634802687004
157,"('6574', '6418')",23.185557,0.6018456688427529,1026.838115948105,20.751867831202944,16.599317373042688,28.406648272272744
158,"('6574', '6428')",9.13414,0.14533602507066726,448.7766699088455,9.069544648794881,4.008467503842442,56.11554559222388
159,"('6574', '6557')",10.933632,0.07381663406034145,462.4537563561336,9.345951499944926,2.0359135233679013,81.37934838699618
160,"('6574', '6574')",0.035942999999999996,0.0,0.0,0.0,0.0,100.0
161,"('6574', '6613')",26.731185,1.1872626603488259,1824.3158777296546,36.86848139840971,32.745520528855515,22.499322528557993
162,"('6222', '6066')",24.433116,1.0417488836736006,1505.9652546938894,30.434779775326223,28.732150513538166,17.595113589024695
163,"('6222', '6080')",52.731453,2.0603399020976707,2840.285944598986,57.40071157245625,56.82559118025088,7.764129276412845
164,"('6222', '6101')",73.487152,2.6472163878934505,3690.006750446269,74.57313007007387,73.0120481921155,0.6465127508064189
165,"('6222', '6208')",58.450318,2.620422797751692,3648.5620323480707,73.73555372876211,72.27306255285441,23.64870718556982
166,"('6222', '6222')",0.100731,0.0,0.0,0.0,0.0,100.0
167,"('6222', '6257')",53.291849,1.3704182925762871,2027.7009339881,40.97878831121848,37.79707880267315,29.075309804557264
168,"('6222', '6274')",63.870114,2.9292527452576174,3999.6025199406263,80.82990062607763,80.79080485514281,26.492344847142135
169,"('6222', '6280')",23.344934,0.9272908659989056,1391.5389189906555,28.122282646477558,25.575319685254854,9.55404579535267
170,"('6222', '6287')",42.260674,1.4739055294382175,2091.0720412385376,42.259485649536344,40.65132795268115,3.808140985443941
171,"('6222', '6373')",44.125009,1.3704182925762871,2007.8402614030206,40.577414378830106,37.79707880267315,14.340915369165932
172,"('6222', '6379')",17.142338,0.8032695822173446,980.8410151546857,19.82229018750375,22.15472740208566,29.239823658159462
173,"('6222', '6388')",24.462976,0.3184620003547993,778.185738630964,15.72673174610996,8.783400942816307,64.09512504604385
174,"('6222', '6389')",24.683026,0.7585894744631942,1000.7293246530193,20.224222647631024,20.922419308386203,15.235598307978115
175,"('6222', '6418')",25.352898,0.8594129011879147,1289.1824517189145,26.05371132301164,23.703198743186153,6.506945505061577
176,"('6222', '6428')",32.992044,0.460566982573966,749.3287796063071,15.143547512500557,12.702754063163912,61.497523272083676
177,"('6222', '6557')",14.680946,0.257672055062002,642.3839568562847,12.982247895286065,7.106772452749546,51.59186299881803
178,"('6222', '6574')",7.292643,0.3184620003547993,305.03761092848305,6.164652526254393,8.783400942816307,20.441943240829247
179,"('6222', '6613')",32.903909,1.4035755181637597,2051.999413669498,41.4698480323333,38.71157788313398,17.650391882417306
180,"('6388', '6066')",46.609053,0.7049927430223707,836.0985508120613,16.897119760978068,19.444184602378186,58.28238646604087
181,"('6388', '6080')",38.116792,1.8137661544024937,2116.1151724872466,42.76559439411955,50.02491767582431,31.241153966536107
182,"('6388', '6101')",59.151817,2.3325172518918045,2929.583710449141,59.205373286667275,64.33242963548767,8.758163143978601
